PPN	creator	dataProvider	date	format	identifier	isShownAt	issued	object	provider	publisher	rights	source	spatial	subject	title	type
PPN837869218	Möser, Justus	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1792	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B73400000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B73400000000	1792	http://digital.staatsbibliothek-berlin.de/europeana/PPN837869218/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Möser, Justus: Zur Feyer des funfzigjährigen Dienstes Eines Mannes, Der, in allen Geschäften gleich thätig, das Wohl des Vaterlandes in jedem seiner Zweige ruhmvoll beförderte und als Syndicus der Landes-Ritterschaft durch Eifer, Klugheit und tiefe Einsicht Ihre Erwartung weit übertraf, widmete dieses Denkmal eines gerechten Dankes die Ritterschaft des Hochstifts Osnabrück den 17ten Jan. 1792. [Osnabrück]  Berlin 1792	[Osnabrück]	Historische Drucke	Zur Feyer des funfzigjährigen Dienstes Eines Mannes, Der, in allen Geschäften gleich thätig, das Wohl des Vaterlandes in jedem seiner Zweige ruhmvoll beförderte und als Syndicus der Landes-Ritterschaft durch Eifer, Klugheit und tiefe Einsicht Ihre Erwartung weit übertraf, widmete dieses Denkmal eines gerechten Dankes die Ritterschaft des Hochstifts Osnabrück den 17ten Jan. 1792	Monograph
PPN834584549	Sailer, Johann Michael  Haiden, Thomas Josephus  Steiner, Joseph. Anton.	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1791	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B02D00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B02D00000000	1791	http://digital.staatsbibliothek-berlin.de/europeana/PPN834584549/00000007.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Lentner  Berlin-Brandenburgische Akademie der Wissenschaften, Germany	Open Access	Sailer, Johann Michael  Haiden, Thomas Josephus  Steiner, Joseph. Anton.: Kurzgefasste Erinnerungen an junge Prediger  Mit einigen Erläuterungen, bey Anlass einer öffentlichen Prüfung. München  Berlin 1791	München	Historische Drucke	Kurzgefasste Erinnerungen an junge Prediger	Monograph
PPN827000294	Sack, Friedrich Samuel Gottfried	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1786	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001A07C00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001A07C00000000	1786	http://digital.staatsbibliothek-berlin.de/europeana/PPN827000294/00000007.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Typis Wegnerianis	Open Access	Sack, Friedrich Samuel Gottfried: Reliquiæ Bibliothecæ Sackianæ  Publicæ Auctionis Lege Divendendæ Berolini, die XXIII. Octobr. MDCCLXXXVI.. Berolini  Berlin 1786	Berolini	Historische Drucke	Reliquiæ Bibliothecæ Sackianæ	Monograph
PPN835242072	Streithorst, Johann Werner  Gleim, ...  Fischer, ...  Klaus, David	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1793	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B22200000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B22200000000	1793	http://digital.staatsbibliothek-berlin.de/europeana/PPN835242072/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Streithorst, Johann Werner  Gleim, ...  Fischer, ...  Klaus, David: David Klaus  Denkmal eines Weisen im groben Gewand. Halberstadt  Berlin 1793	Halberstadt	Historische Drucke	David Klaus	Monograph
PPN835030679	Apitsch, Samuel Lobegott	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1786	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B15E00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B15E00000000	1786	http://digital.staatsbibliothek-berlin.de/europeana/PPN835030679/00000007.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Apitsch, Samuel Lobegott: Stand und Trauerrede gehalten am Sarge des auserwählten Rüstzeuges des wohlseeligen Kämpfers auf Zion Samuel Lobegott Apitsch nachdem derselbe den 18ten October 1786 zur innigen Betrübniß der ächten und felsenvesten Orthodoxie, seinen Lebenslauf gar erbaulich beschlossen. Hamburg  Berlin 1786	Hamburg	Historische Drucke	Stand und Trauerrede gehalten am Sarge des auserwählten Rüstzeuges des wohlseeligen Kämpfers auf Zion Samuel Lobegott Apitsch nachdem derselbe den 18ten October 1786 zur innigen Betrübniß der ächten und felsenvesten Orthodoxie, seinen Lebenslauf gar erbaulich beschlossen	Monograph
PPN835246736	Klaus, David	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1793	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B22800000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B22800000000	1793	http://digital.staatsbibliothek-berlin.de/europeana/PPN835246736/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Delius und Matthias	Open Access	Klaus, David: Des verstorbnen David Klausens hinterlassene Bücher  welche den 21 October 1793 in der Wohnung des Handschuhfabrikanten Herrn Bornemanns auf der Schmiedestraße ... an den Meistbietenden verkauft werden sollen ; Das Verzeichniß davon wird in des Hrn. Sekr. u. Actuar Schenk Wohnung umsonst ausgegeben. Halberstadt  Berlin 1793	Halberstadt	Historische Drucke	Des verstorbnen David Klausens hinterlassene Bücher	Monograph
PPN837931398	Veridicus, Sincerus  Bashuysen, Henricus Jacobus	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1714	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B76F00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B76F00000000	1714	http://digital.staatsbibliothek-berlin.de/europeana/PPN837931398/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Veridicus, Sincerus  Bashuysen, Henricus Jacobus: Sinceri Veridici, Fußstapffen der Göttlichen Fürsehung Uber Treue und Demüthige Lehrer, Oder Kurtze und in Publicis Actis gegründete Erzehlung, Des Seegens Gottes Uber Den Beruff und Arbeit, Des T.T. Herren Doctoris und Professoris Henrici Jacobi Van Bashuysen, gebürtig aus Hanau, Alt 35. Jahr weniger ein Monath. [S.l.]  Berlin 1714	[S.l.]	Historische Drucke	Sinceri Veridici, Fußstapffen der Göttlichen Fürsehung Uber Treue und Demüthige Lehrer, Oder Kurtze und in Publicis Actis gegründete Erzehlung, Des Seegens Gottes Uber Den Beruff und Arbeit, Des T.T. Herren Doctoris und Professoris Henrici Jacobi Van Bashuysen, gebürtig aus Hanau, Alt 35. Jahr weniger ein Monath	Monograph
PPN838554512	Leonardus, Renatus Christophorus  Reimmannus, Jacobus Fridericus	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1717	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B94800000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B94800000000	1717	http://digital.staatsbibliothek-berlin.de/europeana/PPN838554512/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Leonardus, Renatus Christophorus  Reimmannus, Jacobus Fridericus: Des Hoch-Ehrwürdigen, in Gott andächtigen, und Hoch-gelahrten Herrn, Herrn Jacobi Friderici Reimmanni, Hochverdienten Superintendentis Der ansehnlichen Stadt Hildesheim, Herrlich Gezierter Tugend-Wandel, So aus Renati Christophori Leonardi Schediasmate Historico-Literario kürtzlich zusammen gezogen, Und Mit eilfertigster Feder übersetzet, Von einem, Getreuen Lehrern, Und Christlichen Predigern Beypflichtenden R. [i.e. Leonard Christoph Rühle]. Hildesheim  Berlin 1717	Hildesheim	Historische Drucke	Des Hoch-Ehrwürdigen, in Gott andächtigen, und Hoch-gelahrten Herrn, Herrn Jacobi Friderici Reimmanni, Hochverdienten Superintendentis Der ansehnlichen Stadt Hildesheim, Herrlich Gezierter Tugend-Wandel, So aus Renati Christophori Leonardi Schediasmate Historico-Literario kürtzlich zusammen gezogen, Und Mit eilfertigster Feder übersetzet, Von einem, Getreuen Lehrern, Und Christlichen Predigern Beypflichtenden R. [i.e. Leonard Christoph Rühle]	Monograph
PPN835250792	Schlichtegroll, Friedrich von  Fixlmillner, Placidus	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1797	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B22D00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B22D00000000	1797	http://digital.staatsbibliothek-berlin.de/europeana/PPN835250792/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Schlichtegroll, Friedrich von  Fixlmillner, Placidus: Denkmahl des berühmten Astronomen P. Placidus Fixlmillner, Benedictiners in Kremsmünster. Gotha  Berlin 1797	Gotha	Historische Drucke	Denkmahl des berühmten Astronomen P. Placidus Fixlmillner, Benedictiners in Kremsmünster	Monograph
PPN835253112	Poßelt, Augustus  Hoffmann, Gottfried	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1713	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B22E00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B22E00000000	1713	http://digital.staatsbibliothek-berlin.de/europeana/PPN835253112/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Hünel	Open Access	Poßelt, Augustus  Hoffmann, Gottfried: Den sich selbst, und die ihn hören, seelig zu machen bemüheten Schul-Lehrer, Stellete bey Beerdigung ... Hn. M. Gottfried Hoffmanns, Hochverdiendten Rectoris des Gymnasii in Zittau, Als derselbe den 1. Octob. des 1712. Jahres ... seelig entschlaffen, und deßen entseelter Cörper ... zu seiner Ruhe-Stäte, in der Kirche St. Johannis gebracht wurde, Aus dessen Leichen-Texte 1. Joh. II, 1.2. Ob jemand sündiget, so haben wir einen Fürsprecher [et]c. für, und überließ auf Begehren zum Drucke M. Augustus Poßelt, Archi-Diaconus  Wobey mit angefüget worden, zwey eben demselbigen zu Ehren gehaltene Parentationes. Budißin  Berlin 1713	Budißin	Historische Drucke	Den sich selbst, und die ihn hören, seelig zu machen bemüheten Schul-Lehrer, Stellete bey Beerdigung ... Hn. M. Gottfried Hoffmanns, Hochverdiendten Rectoris des Gymnasii in Zittau, Als derselbe den 1. Octob. des 1712. Jahres ... seelig entschlaffen, und deßen entseelter Cörper ... zu seiner Ruhe-Stäte, in der Kirche St. Johannis gebracht wurde, Aus dessen Leichen-Texte 1. Joh. II, 1.2. Ob jemand sündiget, so haben wir einen Fürsprecher [et]c. für, und überließ auf Begehren zum Drucke M. Augustus Poßelt, Archi-Diaconus	Monograph
PPN82710183X	None	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1728	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001A0F500000000	http://resolver.staatsbibliothek-berlin.de/SBB0001A0F500000000	1728	http://digital.staatsbibliothek-berlin.de/europeana/PPN82710183X/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Specification Einiger raren Güldenen und Silbernen Medaillen, Auch rarer Spec. Thalern  Welche als versessene Pfande bey dem Königl. Preuß. Hoff-Krieges- und Criminal-Gericht in Berlin auf dem Werder bey der Schleusse, sonst die neue Haußvogtey genannt, Den 30. Jun. 1728 Durch öffentl. Auction an die Meistbiethenden gegen baare Bezahlung verkaufft werden sollen. [Berlin]  Berlin 1728	[Berlin]	Historische Drucke	Specification Einiger raren Güldenen und Silbernen Medaillen, Auch rarer Spec. Thalern	Monograph
PPN838221610	Weber, Daniel Ludwig  Schumacher, Peter  Tolkemit, Alexander Nikolaus	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1778	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B81400000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B81400000000	1778	http://digital.staatsbibliothek-berlin.de/europeana/PPN838221610/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Nohrmann	Open Access	Weber, Daniel Ludwig  Schumacher, Peter  Tolkemit, Alexander Nikolaus: Lebensbeschreibung des seligen Herrn Peter Schumacher zweeten Pastors bey der evangelisch lutherischen Hauptkirche zu St. Marien in Elbing  als ein Nachtrag zu Herrn Tolkemits elbingschem Lehrergedächtniß. Elbing  Berlin 1778	Elbing	Historische Drucke	Lebensbeschreibung des seligen Herrn Peter Schumacher zweeten Pastors bey der evangelisch lutherischen Hauptkirche zu St. Marien in Elbing	Monograph
PPN827369336	Friedrich Wilhelm <III.> < Preußen, König>,	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1798	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001A15700000000	http://resolver.staatsbibliothek-berlin.de/SBB0001A15700000000	1798	http://digital.staatsbibliothek-berlin.de/europeana/PPN827369336/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Friedrich Wilhelm <III.> < Preußen, König>,: Wir Friedrich Wilhelm von Gottes Gnaden König von Preussen &c. &c. &c. Thun kund und fügen hiermit zu wissen. Nachdem die Deputirte der Westpreuszischen Ritterschaft bey Uns allerunterthänigst nachgesucht, dasz der Provinz Westpreussen in Ansehung der Sicherstellung gegen fiscälische Processe eben die Begnadigung angedeihen möge, deren sich die älteren Provinzien ... zu erfreuen haben, ... so haben Wir gedachter Provinz durch Bewilligung dieses ihres Gesuchs einen wohlverdienten Beweisz Unserer landesväterlichen Huld und Gnade geben wollen ...  So geschehen und gegeben Berlin den 18. December 1798.. [Berlin]  Berlin 1798	[Berlin]	Historische Drucke	Wir Friedrich Wilhelm von Gottes Gnaden König von Preussen &c. &c. &c. Thun kund und fügen hiermit zu wissen. Nachdem die Deputirte der Westpreuszischen Ritterschaft bey Uns allerunterthänigst nachgesucht, dasz der Provinz Westpreussen in Ansehung der Sicherstellung gegen fiscälische Processe eben die Begnadigung angedeihen möge, deren sich die älteren Provinzien ... zu erfreuen haben, ... so haben Wir gedachter Provinz durch Bewilligung dieses ihres Gesuchs einen wohlverdienten Beweisz Unserer landesväterlichen Huld und Gnade geben wollen ...	Monograph
PPN835094138	Weiß, Johann Baptist  Gerbert, Martin	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1793	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B1CB00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B1CB00000000	1793	http://digital.staatsbibliothek-berlin.de/europeana/PPN835094138/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	St. Blasische Schriften	Open Access	Weiß, Johann Baptist  Gerbert, Martin: Trauer- und Lobrede auf Martin Gerbert, weiland Fürstabbten zu St. Blasien auf dem Schwarzwalde. [St. Blasien]  Berlin 1793	[St. Blasien]	Historische Drucke	Trauer- und Lobrede auf Martin Gerbert, weiland Fürstabbten zu St. Blasien auf dem Schwarzwalde	Monograph
PPN839457820	Sattler, Johann Paul  Hessell, Heinrich  Bock, Christoph Wilhelm  Seidel, Christian Heinrich	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1788	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001BA9400000000	http://resolver.staatsbibliothek-berlin.de/SBB0001BA9400000000	1788	http://digital.staatsbibliothek-berlin.de/europeana/PPN839457820/00000007.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Grattenauer	Open Access	Sattler, Johann Paul  Hessell, Heinrich  Bock, Christoph Wilhelm  Seidel, Christian Heinrich: Denkmal der Freundschaft bey dem Grabe des seeligen Herrn Christian Heinrich Seidels, Diakonus an der Hauptpfarrkirche St. Sebalds in Nürnberg. Nürnberg  Berlin 1788	Nürnberg	Historische Drucke	Denkmal der Freundschaft bey dem Grabe des seeligen Herrn Christian Heinrich Seidels, Diakonus an der Hauptpfarrkirche St. Sebalds in Nürnberg	Monograph
PPN827373023	Friedrich Wilhelm <III.> < Preußen, König>,	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1799	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001A16600000000	http://resolver.staatsbibliothek-berlin.de/SBB0001A16600000000	1799	http://digital.staatsbibliothek-berlin.de/europeana/PPN827373023/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Decker	Open Access	Friedrich Wilhelm <III.> < Preußen, König>,: Publikandum wegen der immediaten Beschwerführungen  De Dato Berlin, den 21. May, 1799.. [Berlin]  Berlin 1799	[Berlin]	Historische Drucke	Publikandum wegen der immediaten Beschwerführungen	Monograph
PPN835297519	Huber, Johann Ludwig  Gemmingen, Eberhard	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1793	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B25A00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B25A00000000	1793	http://digital.staatsbibliothek-berlin.de/europeana/PPN835297519/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Herzogliche Akademische Buchdruckerei	Open Access	Huber, Johann Ludwig  Gemmingen, Eberhard: Denkmal des Herzoglich Wirtembergischen Präsidenten der Regierung Eberhard von Gemmingen. Stuttgart  Berlin 1793	Stuttgart	Historische Drucke	Denkmal des Herzoglich Wirtembergischen Präsidenten der Regierung Eberhard von Gemmingen	Monograph
PPN838324657	Heydenreich, Siegmund Rudolph  Fuchs, Friedrich Ludwig  Wild, Jo. Christophorus  Mylius, Jo. Lud.  Steudner, Christoph  Dieterichs, Johann Georg Nikolaus  Wedel, Georg Wolfgang	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1704	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B8A800000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B8A800000000	1704	http://digital.staatsbibliothek-berlin.de/europeana/PPN838324657/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Müller	Open Access	Heydenreich, Siegmund Rudolph  Fuchs, Friedrich Ludwig  Wild, Jo. Christophorus  Mylius, Jo. Lud.  Steudner, Christoph  Dieterichs, Johann Georg Nikolaus  Wedel, Georg Wolfgang: Viro-Iuveni Noblissimo Et Clarissimo Domino Joh. Georgio Nicol. Dieterichs Ratisbonensi Sub Auspiciis Wedelianis In Solenni Panegyri De Lithotomia differenti Felicer Acclament Sequent.. Ienae  Berlin 1704	Ienae	Historische Drucke	Viro-Iuveni Noblissimo Et Clarissimo Domino Joh. Georgio Nicol. Dieterichs Ratisbonensi Sub Auspiciis Wedelianis In Solenni Panegyri De Lithotomia differenti Felicer Acclament Sequent.	Monograph
PPN835239586	Georg, Friedrich Adam  Kreul, Johann Lorenz  Lips, Heinrich  Georg, Johann Michael	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1798	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B21E00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B21E00000000	1798	http://digital.staatsbibliothek-berlin.de/europeana/PPN835239586/00000007.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Palm	Open Access	Georg, Friedrich Adam  Kreul, Johann Lorenz  Lips, Heinrich  Georg, Johann Michael: Lebensbeschreibung eines der vorzüglichsten Staatsmänner unserer Zeit Johann Michael Georg's  welcher sich durch vorzügliche Talente vom Hirtenstand bis zum Director der Königl. Preussischen Regierung zu Bayreuth emporgeschwungen. Erlangen  Berlin 1798	Erlangen	Historische Drucke	Lebensbeschreibung eines der vorzüglichsten Staatsmänner unserer Zeit Johann Michael Georg's	Monograph
PPN838453511	Liebers, Jo. Henr.  Ayrer, Georg Heinrich	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1736	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B8FF00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B8FF00000000	1736	http://digital.staatsbibliothek-berlin.de/europeana/PPN838453511/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Liebers, Jo. Henr.  Ayrer, Georg Heinrich: In Ayrerum Cum Summos Utriusque Iuris Honores In Augusta Georgia Digne Capesseret Haec Cecinit Io. Henr. Liebers  A. MDCCXXXVI. D. XVIIII. Kal. Septemb.. [S.l.]  Berlin 1736	[S.l.]	Historische Drucke	In Ayrerum Cum Summos Utriusque Iuris Honores In Augusta Georgia Digne Capesseret Haec Cecinit Io. Henr. Liebers	Monograph
PPN838464963	Ciangulo, Nicolò  Ayrer, Georgius Henricus	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1736	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B90900000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B90900000000	1736	http://digital.staatsbibliothek-berlin.de/europeana/PPN838464963/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Vandenhoeck	Open Access	Ciangulo, Nicolò  Ayrer, Georgius Henricus: Nelle Solenni Festività Del Dottorato Del Signor Georgio Henrico Ayrer Si Scirve Il Presente Sonetto. Gottinga  Berlin 1736	Gottinga	Historische Drucke	Nelle Solenni Festività Del Dottorato Del Signor Georgio Henrico Ayrer Si Scirve Il Presente Sonetto	Monograph
PPN827372558	Friedrich Wilhelm <III.> < Preußen, König>,	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1799	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001A16400000000	http://resolver.staatsbibliothek-berlin.de/SBB0001A16400000000	1799	http://digital.staatsbibliothek-berlin.de/europeana/PPN827372558/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Effenbart	Open Access	Friedrich Wilhelm <III.> < Preußen, König>,: Landgestüt-Reglement für das Herzogthum Vor- und Hinterpommern, mit Inbegrif der gesamten Herrschaft Schwedt und mit Ausnahme der Lande Lauenburg und Bütow  De Dato Berlin, den 24. April 1799.. Stettin  Berlin 1799	Stettin	Historische Drucke	Landgestüt-Reglement für das Herzogthum Vor- und Hinterpommern, mit Inbegrif der gesamten Herrschaft Schwedt und mit Ausnahme der Lande Lauenburg und Bütow	Monograph
PPN838241786	J. G. M.,	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1703	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B81E00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B81E00000000	1703	http://digital.staatsbibliothek-berlin.de/europeana/PPN838241786/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Maschenbauer	Open Access	J. G. M.,: Salve Augustanum. Das ist: Glückwünschender Zuruff Zum erfreulichen Eingang und Anfang Deß mit Gott angetrettenen Dritten Jahrs Seculi Duodevigensimi.  Auf die 3. Haupt-Stände der Christenheit, Besonders Auf den der Zeit nothleidenden und in Kriegs-Gefahr schwebenden Hauß-Stand In Augspurg Gerichtet und gedichtes von J. G. M.. [Augspurg]  Berlin 1703	[Augspurg]	Historische Drucke	Salve Augustanum. Das ist: Glückwünschender Zuruff Zum erfreulichen Eingang und Anfang Deß mit Gott angetrettenen Dritten Jahrs Seculi Duodevigensimi.	Monograph
PPN827365128	Friedrich Wilhelm <III.> < Preußen, König>,	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1798	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001A15300000000	http://resolver.staatsbibliothek-berlin.de/SBB0001A15300000000	1798	http://digital.staatsbibliothek-berlin.de/europeana/PPN827365128/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Friedrich Wilhelm <III.> < Preußen, König>,: Wir Friedrich Wilhelm von Gottes Gnaden König von Preussen [et]c. [et]c. [et]c. Unsern gnädigen Gruß zuvor! Da Unsere landesväterliche Absicht dahin gehet, eine Verbesserung der Städtischen, vornehmlich der eigentlichen Bürger-Schulen zu bewirken; so ist zuvörderst eine genaue Kenntniß des gegenwärtigen Zustandes aller Stadt-Schulen nothwendig ...  Gegeben Berlin, den 27. November 1798.. [Berlin]  Berlin 1798	[Berlin]	Historische Drucke	Wir Friedrich Wilhelm von Gottes Gnaden König von Preussen [et]c. [et]c. [et]c. Unsern gnädigen Gruß zuvor! Da Unsere landesväterliche Absicht dahin gehet, eine Verbesserung der Städtischen, vornehmlich der eigentlichen Bürger-Schulen zu bewirken; so ist zuvörderst eine genaue Kenntniß des gegenwärtigen Zustandes aller Stadt-Schulen nothwendig ...	Monograph
PPN827365578	Friedrich Wilhelm <III.> < Preußen, König>,	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1798	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001A15300010000	http://resolver.staatsbibliothek-berlin.de/SBB0001A15300010000	1798	None	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Friedrich Wilhelm <III.> < Preußen, König>,: Nro. I. Tabelle über den äußern Zustand der Stadtschule zu. [Berlin]  Berlin 1798	[Berlin]	Historische Drucke	Nro. I. Tabelle über den äußern Zustand der Stadtschule zu	Other
PPN827365993	Friedrich Wilhelm <III.> < Preußen, König>,	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1798	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001A15300020000	http://resolver.staatsbibliothek-berlin.de/SBB0001A15300020000	1798	None	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Friedrich Wilhelm <III.> < Preußen, König>,: Nr. II. Tabelle über den innern Zustand der Stadtschule zu. [Berlin]  Berlin 1798	[Berlin]	Historische Drucke	Nr. II. Tabelle über den innern Zustand der Stadtschule zu	Other
PPN838221939	Schneider, Eulogius  Robespierre, Augustin	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1794	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B81700000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B81700000000	1794	http://digital.staatsbibliothek-berlin.de/europeana/PPN838221939/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Schneider, Eulogius  Robespierre, Augustin: Eulogius Schneider, ehmals öffentlicher Ankläger beim Criminal-Gerichte des Niederrheinischen Departements, jezt im Arresthause, genannt die Abtei, zu Paris  An Robespierre den Alten, Stellvertreter der fränkischen Nation ; (Aus dem Französischen.). [S.l.]  Berlin 1794	[S.l.]	Historische Drucke	Eulogius Schneider, ehmals öffentlicher Ankläger beim Criminal-Gerichte des Niederrheinischen Departements, jezt im Arresthause, genannt die Abtei, zu Paris	Monograph
PPN835249387	Lavater, Johann Kaspar  Schmidt, F.  Tobler, Johannes  Heß, Johann Felix	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	1774	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0001B22A00000000	http://resolver.staatsbibliothek-berlin.de/SBB0001B22A00000000	1774	http://digital.staatsbibliothek-berlin.de/europeana/PPN835249387/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	Open Access	Lavater, Johann Kaspar  Schmidt, F.  Tobler, Johannes  Heß, Johann Felix: Denkmal auf Johann Felix Heß, weyland Diener Göttlichen Wortes. Zürich  Berlin 1774	Zürich	Historische Drucke	Denkmal auf Johann Felix Heß, weyland Diener Göttlichen Wortes	Monograph
