PPN	dataProvider	format	identifier	isShownAt	object	provider	publisher	relation	rights	source	subject	title	type
PPN771313152	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000104A7000C0000	http://resolver.staatsbibliothek-berlin.de/SBB000104A7000C0000	http://digital.staatsbibliothek-berlin.de/europeana/PPN771313152/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Bilder aus dem Großherzogtum Hessen. Darmstadt  Berlin ; 12.1918	Open Access	Bilder aus dem Großherzogtum Hessen. Berlin	Krieg 1914 1918	Bilder aus dem Großherzogtum Hessen	Volume
PPN768063108	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F54300000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F54300000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN768063108/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Wilhelm,: Wilhelm vierundzwanzig Stunden später auf dem Schlachtfeld  Schon vierundzwanzig Stunden nach der Offensive ist Wilhelm II. auf dem Schlachtfelde gewesen .... Paris  Berlin	Krieg 1914 1918	Wilhelm vierundzwanzig Stunden später auf dem Schlachtfeld	Monograph
PPN688730213	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00007D2E00000000	http://resolver.staatsbibliothek-berlin.de/SBB00007D2E00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN688730213/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Hoffmann & Campe	None	Open Access	Draheim, Hans: Kaiser und Reich  vaterländische Gedichte. Berlin-Schöneberg  Berlin	Krieg 1914 1918	Kaiser und Reich	Monograph
PPN767828267	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F41100000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F41100000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN767828267/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Meininger, August  Damm, H.: Eine ganze Anzahl von Schauermären und Räubergeschichten werden Euch wieder in letzter Zeit von Euren Offizieren und Euren Zeitungen erzählt .... Paris  Berlin	Krieg 1914 1918	Eine ganze Anzahl von Schauermären und Räubergeschichten werden Euch wieder in letzter Zeit von Euren Offizieren und Euren Zeitungen erzählt ...	Monograph
PPN688542646	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00007BE400000000	http://resolver.staatsbibliothek-berlin.de/SBB00007BE400000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN688542646/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Verlag des Deutschen Reichsgesetzbuch für Industrie, Handel u. Gewerbe (Otto Drewitz)	None	Open Access	Kriegs-Gesetze, -Verordnungen und -Bekanntmachungen  mit Inhaltsverzeichnis und Sachregister. Berlin  Berlin	Krieg 1914 1918	Kriegs-Gesetze, -Verordnungen und -Bekanntmachungen	Monograph
PPN727127403	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000A44700000000	http://resolver.staatsbibliothek-berlin.de/SBB0000A44700000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN727127403/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Perthes	None	Open Access	Baumbach, Karl: Hôtel Dieu  Lieder von Kriegsgefangenschaft und Heimkehr. Gotha  Berlin	Krieg 1914 1918	Hôtel Dieu	Monograph
PPN749515848	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000DF5100000000	http://resolver.staatsbibliothek-berlin.de/SBB0000DF5100000000	None	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Zeebrügger Tageblatt  Jahreszeitung für Humorersatz ; amtliches Organ des Vereins zur Verhinderung des Fremdenverkehrs an der flandrischen Küste-Brügge, d. Wach- u. Schiessgesellschaft - Ostende u. d. Vereinigung z. Hebung d. Versenkungssiffer - Zeebrügge. Zeebrügge  Berlin	Krieg 1914 1918	Zeebrügger Tageblatt	Periodical
PPN670591726	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000665F00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000665F00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN670591726/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Piper	None	Open Access	Reichel, Otto: Die deutschen Kriegsgäste der Schweiz  ein Gedenkblatt an die Hospitalisierung deutscher Kriegs- und Zivilgefangener. München  Berlin	Krieg 1914 1918	Die deutschen Kriegsgäste der Schweiz	Monograph
PPN679539654	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00006C7000000000	http://resolver.staatsbibliothek-berlin.de/SBB00006C7000000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN679539654/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Singer	None	Open Access	Lensch, Paul: Die deutsche Sozialdemokratie und der Weltkrieg  eine politische Studie. Berlin  Berlin	Krieg 1914 1918	Die deutsche Sozialdemokratie und der Weltkrieg	Monograph
PPN768147689	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F56100000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F56100000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN768147689/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Wilson, Woodrow: Warum ist Amerika in den Krieg gezogen?  In trefflichen Worten hat Präsident Wilson in seiner Botschaft vom 1. September 1918 die Kriegsziele Amerikas und seiner Verbündeten klar gelegt .... Paris  Berlin	Krieg 1914 1918	Warum ist Amerika in den Krieg gezogen?	Monograph
