PPN	dataProvider	format	identifier	isShownAt	object	provider	publisher	relation	rights	source	subject	title	type
PPN770258506	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000103BE00000000	http://resolver.staatsbibliothek-berlin.de/SBB000103BE00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN770258506/00000007.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Ullstein	None	Open Access	Kühlwetter, Friedrich: Skagerrak!  Der Ruhmestag der deutschen Flotte. Berlin  Berlin	Krieg 1914 1918	Skagerrak!	Monograph
PPN683530879	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000708A00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000708A00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN683530879/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Schulze	None	Open Access	Stümcke, Heinrich: Theater und Krieg. Oldenburg [u.a.]  Berlin	Krieg 1914 1918	Theater und Krieg	Monograph
PPN719252555	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000948A00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000948A00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN719252555/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Klöppel	None	Open Access	Lörcher, Ulrich: Um's Elsaß  Kriegserzählung. Eisleben  Berlin	Krieg 1914 1918	Um's Elsaß	Monograph
PPN770466095	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F888000A0000	http://resolver.staatsbibliothek-berlin.de/SBB0000F888000A0000	http://digital.staatsbibliothek-berlin.de/europeana/PPN770466095/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Heimatgrüße aus den Kirchspielen Obersuhl, Heringen, Philippsthal. Gerstungen  Berlin ; 10.1916	Open Access	Heimatgrüße aus den Kirchspielen Obersuhl, Heringen, Philippsthal. Berlin	Krieg 1914 1918	Heimatgrüße aus den Kirchspielen Obersuhl, Heringen, Philippsthal	Volume
PPN757661262	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000EDD400000000	http://resolver.staatsbibliothek-berlin.de/SBB0000EDD400000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN757661262/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Berliner Illustrations-Gesellschaft	None	Open Access	Groener, Wilhelm: Generalmajor Groener  der verdienstvolle Chef des deutschen Feldeisenbahnwesens. Berlin  Berlin	Krieg 1914 1918	Generalmajor Groener	Monograph
PPN720814715	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000995A00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000995A00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN720814715/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Wollermann	None	Open Access	Beck, Henry: Siegfried!  Gottes Kraft für die Front im deutschen Weltkriege ; mit 51 Aufnahmen. Braunschweig  Berlin	Krieg 1914 1918	Siegfried!	Monograph
PPN718139216	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00008DF0000D0000	http://resolver.staatsbibliothek-berlin.de/SBB00008DF0000D0000	http://digital.staatsbibliothek-berlin.de/europeana/PPN718139216/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Kaufungen-Verlag  Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Hilbert, Gerhard: Kriegsandachten. Rostock i. M.  Berlin ; Heft 13	Open Access	Hilbert, Gerhard: Die Seligkeit der Friedfertigen. Die Seligkeit der Verfolgten. Rostock i. M.  Berlin	Krieg 1914 1918	Die Seligkeit der Friedfertigen. Die Seligkeit der Verfolgten	Volume
PPN770085555	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F7E500010000	http://resolver.staatsbibliothek-berlin.de/SBB0000F7E500010000	http://digital.staatsbibliothek-berlin.de/europeana/PPN770085555/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Heimatgrüße aus dem Fuldatal. Spangenberg  Berlin ; 1.1914	Open Access	Heimatgrüße aus dem Fuldatal. Berlin	Krieg 1914 1918	Heimatgrüße aus dem Fuldatal	Volume
PPN752295977	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000DF4D00160000	http://resolver.staatsbibliothek-berlin.de/SBB0000DF4D00160000	http://digital.staatsbibliothek-berlin.de/europeana/PPN752295977/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Feldpostzeitung des Armen- und Jugendfürsorgeamts Leipzig. Leipzig  Berlin ; 22.1916	Open Access	Feldpostzeitung des Armen- und Jugendfürsorgeamts Leipzig. Berlin	Krieg 1914 1918	Feldpostzeitung des Armen- und Jugendfürsorgeamts Leipzig	Volume
PPN719214165	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000947200000000	http://resolver.staatsbibliothek-berlin.de/SBB0000947200000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN719214165/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Blaues Kreuz	None	Open Access	Goebel, Wilhelm: Kriegsleid  Ein Wort an die Hinterbliebenen unserer gefallenen Helden. Barmen  Berlin	Krieg 1914 1918	Kriegsleid	Monograph
PPN767876407	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F4A200000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F4A200000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN767876407/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Volkert, Hans  Hindenburg, Paul: [Bildnis Paul von Hindenburg]. München  Berlin	Krieg 1914 1918	[Bildnis Paul von Hindenburg]	Monograph
PPN715590464	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000868800000000	http://resolver.staatsbibliothek-berlin.de/SBB0000868800000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN715590464/00000009.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Doering	None	Open Access	Siebert, Albert Anton August: Korps Suevia zu Freiburg im Breisgau in der Zeit seines 100jährigen Bestehens 1815-1915. Karlsruhe  Berlin	Krieg 1914 1918	Korps Suevia zu Freiburg im Breisgau in der Zeit seines 100jährigen Bestehens 1815-1915	Monograph
PPN770867790	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F85200470000	http://resolver.staatsbibliothek-berlin.de/SBB0000F85200470000	http://digital.staatsbibliothek-berlin.de/europeana/PPN770867790/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Heimat-Grüße der beiden evangel. Gemeinden Schwerte (Ruhr)  an ihre Streiter im großen Kriege 1914/18. Schwerte  Berlin ; 71.1916	Open Access	Heimat-Grüße der beiden evangel. Gemeinden Schwerte (Ruhr). Berlin	Krieg 1914 1918	Heimat-Grüße der beiden evangel. Gemeinden Schwerte (Ruhr)	Volume
PPN66999734X	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000650400000000	http://resolver.staatsbibliothek-berlin.de/SBB0000650400000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN66999734X/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Vobach	None	Open Access	Funke, Alfred: Schwert und Myrte  Kriegsroman. Berlin [u.a.]  Berlin	Historische Drucke	Schwert und Myrte	Monograph
PPN769098436	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F87200000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F87200000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN769098436/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Dépeche Officielle: La situation  Dans le secteur au Nord d'Arras, nous avons repouseé .... Paris  Berlin	Krieg 1914 1918	Dépeche Officielle: La situation	Monograph
PPN767908570	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F4D900000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F4D900000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN767908570/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Door Vlaanderen heen - geïllustreerd bijblad: De nieuwste Engelsche vriendengroet aan Oostende!. [Brüssel]  Berlin	Krieg 1914 1918	Door Vlaanderen heen - geïllustreerd bijblad: De nieuwste Engelsche vriendengroet aan Oostende!	Monograph
PPN749375043	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000DEFF00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000DEFF00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN749375043/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Die wilde Jagd  Lustspiel in vier Aufzuegen von Ludwig Fulda ... ; Sonnabend, den 12. Februar 1916: 30. Vorstellung, Sonntag, den 13. Februar 1916: 31. Vorstellung, Montag, den 14. Februar 1916: 32. Vorstellung .... [S.l.]  Berlin	Krieg 1914 1918	Die wilde Jagd	Monograph
PPN766366766	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000EEE500000000	http://resolver.staatsbibliothek-berlin.de/SBB0000EEE500000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN766366766/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Kluck, Alexander: [Bildnis Alexander von Kluck]. [Berlin]  Berlin	Krieg 1914 1918	[Bildnis Alexander von Kluck]	Monograph
PPN747098409	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000C25800030000	http://resolver.staatsbibliothek-berlin.de/SBB0000C25800030000	http://digital.staatsbibliothek-berlin.de/europeana/PPN747098409/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Untertürkheimer Kriegs-Chronik  1915/16. Untertürkheim  Berlin ; 3.1917	Open Access	Untertürkheimer Kriegs-Chronik. Berlin	Krieg 1914 1918	Untertürkheimer Kriegs-Chronik	Volume
PPN768053838	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F53600000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F53600000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN768053838/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Republik bedeutet Frieden und Freiheit!  An die Kameraden an der Westfront. Paris  Berlin	Krieg 1914 1918	Republik bedeutet Frieden und Freiheit!	Monograph
PPN770512933	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000104FC00000000	http://resolver.staatsbibliothek-berlin.de/SBB000104FC00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN770512933/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Weddigen, Otto: Deutschlands Seeheld Kapitänleutnant Weddigen, Führer des Unterseeboots U 9. [S.l.]  Berlin	Krieg 1914 1918	Deutschlands Seeheld Kapitänleutnant Weddigen, Führer des Unterseeboots U 9	Monograph
PPN75566678X	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000E83B00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000E83B00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN75566678X/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Reimer	None	Open Access	Moisel, Max: Eisenbahn- und Schiffahrtskarte für Kamerun. Berlin  Berlin	Krieg 1914 1918	Eisenbahn- und Schiffahrtskarte für Kamerun	Monograph
PPN769838006	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F70700070000	http://resolver.staatsbibliothek-berlin.de/SBB0000F70700070000	http://digital.staatsbibliothek-berlin.de/europeana/PPN769838006/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Heimatgrüße aus dem Kirchspiel Oedelsheim, Gieselwerder, Gottstreu. Hersfeld  Berlin ; 7.1915	Open Access	Heimatgrüße aus dem Kirchspiel Oedelsheim, Gieselwerder, Gottstreu. Berlin	Krieg 1914 1918	Heimatgrüße aus dem Kirchspiel Oedelsheim, Gieselwerder, Gottstreu	Volume
PPN749778911	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000E0B900000000	http://resolver.staatsbibliothek-berlin.de/SBB0000E0B900000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN749778911/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Der Grossfuerst  Schwank in drei Aufzuegen von Gustav Wied ... ; 74. Vorstellung: Sonnabend, den 24. Februar 1917, fuer Nord- und Westlager,  75. Vorstellung: Sonntag, den 25. Februar 1917 fuer Suedlager, 76. Vorstellung: Montag, den 26. Februar 1917 fuer Nord- und Westlager .... [S.l.]  Berlin	Krieg 1914 1918	Der Grossfuerst  Schwank in drei Aufzuegen von Gustav Wied ... ; 74. Vorstellung: Sonnabend, den 24. Februar 1917, fuer Nord- und Westlager,  75. Vorstellung: Sonntag, den 25. Februar 1917 fuer Suedlager, 76. Vorstellung: Montag, den 26. Februar 1917 fuer Nord- und Westlager ...	Monograph
PPN719726123	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000962200000000	http://resolver.staatsbibliothek-berlin.de/SBB0000962200000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN719726123/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Kern	None	Open Access	Hacks, Jakob  Rawitsch, Hugo: Vorschläge zur Ernährung des deutschen Volkes in Krieg und Frieden  im Auftrag des Kriegsausschusses für Konsuminteressen/ herausgegeben von Dr. Jakob Hacks, Stadtschulrat in Breslau und  Hugo Rawitsch, Fabrikbesitzer in Breslau. Breslau  Berlin	Krieg 1914 1918	Vorschläge zur Ernährung des deutschen Volkes in Krieg und Frieden  im Auftrag des Kriegsausschusses für Konsuminteressen/ herausgegeben von Dr. Jakob Hacks, Stadtschulrat in Breslau und  Hugo Rawitsch, Fabrikbesitzer in Breslau	Monograph
PPN756249732	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000E96800180000	http://resolver.staatsbibliothek-berlin.de/SBB0000E96800180000	http://digital.staatsbibliothek-berlin.de/europeana/PPN756249732/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Flemming  Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Flemmings Kriegskarte. Berlin [u.a.]  Berlin ; 37	Open Access	Kettler, J. I.: Kriegs-Weltkarte. Berlin [u.a.]  Berlin	Krieg 1914 1918	Kriegs-Weltkarte	Volume
PPN766366375	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000EEE400000000	http://resolver.staatsbibliothek-berlin.de/SBB0000EEE400000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN766366375/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Kluck, Alexander: [Bildnis Alexander von Kluck]. [Berlin]  Berlin	Krieg 1914 1918	[Bildnis Alexander von Kluck]	Monograph
PPN721394329	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB00009ADC00000000	http://resolver.staatsbibliothek-berlin.de/SBB00009ADC00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN721394329/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Steinkopf	None	Open Access	Schlaich, Karl: Der Weltkrieg als religiöses Problem  oder: Bedarf es einer Rechtfertigung Gottes angesichts dieses Krieges?. Stuttgart  Berlin	Krieg 1914 1918	Der Weltkrieg als religiöses Problem	Monograph
PPN749504951	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000CF3D000F0000	http://resolver.staatsbibliothek-berlin.de/SBB0000CF3D000F0000	http://digital.staatsbibliothek-berlin.de/europeana/PPN749504951/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Blätter für Auskunftswesen. [S.l.]  Berlin ; 15.1918	Open Access	Blätter für Auskunftswesen. Berlin	Krieg 1914 1918	Blätter für Auskunftswesen	Volume
PPN747285241	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000DCDD00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000DCDD00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN747285241/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Bote & Bock	None	Open Access	Recoschewitz, Heinrich: Lütticher Sturm-Marsch  op. 72. Berlin  Berlin	Krieg 1914 1918	Lütticher Sturm-Marsch	Monograph
PPN699903076	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000082DC00000000	http://resolver.staatsbibliothek-berlin.de/SBB000082DC00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN699903076/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Langenhagen	None	Open Access	Langenhagen, Heinrich: Grimm und Spott!  Was die große Zeit mir gab ; Gedichte. Stolp i. Pom.  Berlin	Krieg 1914 1918	Grimm und Spott!	Monograph
PPN69989204X	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000082D100000000	http://resolver.staatsbibliothek-berlin.de/SBB000082D100000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN69989204X/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Langguth	None	Open Access	Englischer Soldaten-Sprachführer mit Ausspracheregeln u. -Bezeichnung. Eßlingen a.N.  Berlin	Krieg 1914 1918	Englischer Soldaten-Sprachführer mit Ausspracheregeln u. -Bezeichnung	Monograph
PPN729367657	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000AA0500000000	http://resolver.staatsbibliothek-berlin.de/SBB0000AA0500000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN729367657/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Hausemann	None	Open Access	Bewer, Max: Kriegs-Lieder und Kriegs-Humor. Penig i. Sa.  Berlin	Krieg 1914 1918	Kriegs-Lieder und Kriegs-Humor	Monograph
PPN767840186	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F44900000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F44900000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN767840186/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Mozart, W. A.  Beethoven, L. van: Konzert des Sinfonie Orchesters am Mittwoch, den 28 März 1919 Abends 6. 45. in Bar. 16. Leitung: Dr. Vogt. [Kurume]  Berlin	Krieg 1914 1918	Konzert des Sinfonie Orchesters am Mittwoch, den 28 März 1919 Abends 6. 45. in Bar. 16. Leitung: Dr. Vogt	Monograph
PPN719257379	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000949300000000	http://resolver.staatsbibliothek-berlin.de/SBB0000949300000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN719257379/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Moh	None	Open Access	Sievert, Otto: Deutsch und fromm!  drei Kriegsandachten. Stralsund  Berlin	Krieg 1914 1918	Deutsch und fromm!	Monograph
PPN734648553	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000B77900000000	http://resolver.staatsbibliothek-berlin.de/SBB0000B77900000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN734648553/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Steinkopf	None	Open Access	Priess, Klara: Geschichten für feldgraue und andere Leute. Stuttgart  Berlin	Krieg 1914 1918	Geschichten für feldgraue und andere Leute	Monograph
PPN715586246	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000867700000000	http://resolver.staatsbibliothek-berlin.de/SBB0000867700000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN715586246/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Verlag der Evangelischen Gesellschaft	None	Open Access	Henning, Frieda: Das Eiserne Kreuz. Stuttgart  Berlin	Krieg 1914 1918	Das Eiserne Kreuz	Monograph
PPN715203169	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000848F00000000	http://resolver.staatsbibliothek-berlin.de/SBB0000848F00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN715203169/00000005.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Dietz	None	Open Access	Engels, Friedrich  Bernstein, Eduard: Po und Rhein. Savoyen, Nizza und der Rhein. Stuttgart  Berlin	Krieg 1914 1918	Po und Rhein. Savoyen, Nizza und der Rhein	Monograph
PPN747585245	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000BFE800050000	http://resolver.staatsbibliothek-berlin.de/SBB0000BFE800050000	http://digital.staatsbibliothek-berlin.de/europeana/PPN747585245/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Heimatgrüße aus dem Kirchspiel Kördorf. Gütersloh  Berlin ; 1,5.1916	Open Access	Heimatgrüße aus dem Kirchspiel Kördorf. Berlin	Krieg 1914 1918	Heimatgrüße aus dem Kirchspiel Kördorf	Volume
PPN769647030	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F83F00140000	http://resolver.staatsbibliothek-berlin.de/SBB0000F83F00140000	http://digital.staatsbibliothek-berlin.de/europeana/PPN769647030/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Germany	Heimatgrüße  unsern lieben Feldgrauen und Meerblauen gewidmet von ihren Heimatgemeinden Schönheide, Schönheiderhammer und Neuheide ; monatliche Nachrichten aus der Heimat. Schönheide  Berlin ; 20.1917	Open Access	Heimatgrüße. Berlin	Krieg 1914 1918	Heimatgrüße	Volume
PPN684765896	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000073FC00000000	http://resolver.staatsbibliothek-berlin.de/SBB000073FC00000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN684765896/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Lagerdruckerei	None	Open Access	Turner-Liederbuch des Lagerturnvereins im Kriegsgefangenenlager Bando, Japan, zur Jahn-Feier 11. August 1918. [Bando, Japan]  Berlin	Krieg 1914 1918	Turner-Liederbuch des Lagerturnvereins im Kriegsgefangenenlager Bando, Japan, zur Jahn-Feier 11. August 1918	Monograph
PPN749376104	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000DF0200000000	http://resolver.staatsbibliothek-berlin.de/SBB0000DF0200000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN749376104/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	None	None	Open Access	Im Klubsessel  Lustspiel in drei Aufzuegen von Karl Roessler und Ludwig Heller ... ; 33. Vorstellung fuer Nord- und Westlager: Sonnabend, den 26. Feb. 1916, 34. Vorstellung fuer Suedlager: Sonntag, den 27. Feb. 1916, 35. Vorstellung fuer Nord- und Westlager: Montag, den 28. Feb.1916 .... [S.l.]  Berlin	Krieg 1914 1918	Im Klubsessel	Monograph
PPN768989647	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB0000F7C900000000	http://resolver.staatsbibliothek-berlin.de/SBB0000F7C900000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN768989647/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Photographische Gesellschaft	None	Open Access	Busch, Arnold  Elsa, Karl: [Bildnis Karl] d'Elsa. Berlin  Berlin	Krieg 1914 1918	[Bildnis Karl] d'Elsa	Monograph
PPN716596326	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000089E500000000	http://resolver.staatsbibliothek-berlin.de/SBB000089E500000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN716596326/00000003.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Emmerling	None	Open Access	Merk, Walter: Zur Bekämpfung des Lebensmittelschleichverkehrs. Heidelberg  Berlin	Krieg 1914 1918	Zur Bekämpfung des Lebensmittelschleichverkehrs	Monograph
PPN718939611	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	image/jpeg	http://resolver.staatsbibliothek-berlin.de/SBB000092D300000000	http://resolver.staatsbibliothek-berlin.de/SBB000092D300000000	http://digital.staatsbibliothek-berlin.de/europeana/PPN718939611/00000001.tif	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz	Thelemann	None	Open Access	Wagner, Else: Eßt Kriegskost  Anweisung für die Zubereitung einfacher, schmackhafter Gerichte. Weimar  Berlin	Krieg 1914 1918	Eßt Kriegskost	Monograph
